cod_distrito,distrito,renta_media,tasa_paro,tasa_paro_larga_duracion,tasa_paro_joven,pension_media,tasa_comercios
1.0,Centro,24920.0,7.05,1.87,2.95,1151.0,81.2
2.0,Arganzuela,24511.0,6.39,1.59,3.08,1327.0,31.6
3.0,Retiro,27616.0,5.5,1.27,1.83,1455.5,29.21
4.0,Salamanca,28128.0,4.89,1.16,1.86,1438.0,50.53
5.0,Chamartín,28044.0,4.91,1.18,1.38,1421.5,39.64
6.0,Tetuán,21324.0,7.29,1.96,4.12,1183.5,39.17
7.0,Chamberí,27761.0,5.24,1.17,2.1,1458.5,49.18
8.0,Fuencarral - El Pardo,22765.0,5.82,1.4,2.82,1329.0,22.04
9.0,Moncloa - Aravaca,26039.0,5.37,1.35,2.06,1340.0,33.07
10.0,Latina,18974.0,8.52,2.04,4.84,1147.5,24.44
11.0,Carabanchel,17904.0,9.24,2.37,5.88,1071.5,29.94
12.0,Usera,16381.0,9.76,2.61,6.76,984.0,26.03
13.0,Puente de Vallecas,16042.0,10.71,3.11,7.09,973.0,24.89
14.0,Moratalaz,20844.0,8.41,2.25,4.91,1221.5,20.47
15.0,Ciudad Lineal,21376.0,7.31,1.85,3.18,1217.5,32.48
16.0,Hortaleza,23552.0,6.34,1.58,2.92,1236.5,20.81
17.0,Villaverde,16522.0,10.42,2.82,6.9,1048.0,29.9
18.0,Villa de Vallecas,19316.0,9.28,2.8,8.1,1095.5,32.25
19.0,Vicálvaro,18660.0,9.03,2.66,6.22,1098.5,20.45
20.0,San Blas - Canillejas,19588.0,7.99,2.2,4.32,1114.5,26.78
21.0,Barajas,25029.0,5.88,1.38,2.78,1309.5,30.61
