cod_distrito,distrito,tasa_centros_enseñanza,tasa_centros_publicos_obligatoria,tasa_absentismo,tasa_sin_estudios,tasa_poblacion_educacion_obligatoria,tasa_poblacion_educacion_superior,tasa_bibliotecas,tasa_superficie_deportiva,tasa_zonas_verdes,tasa_centros_culturales,satisfaccion_instalaciones_deportivas,satisfaccion_centros_culturales,satisfaccion_espacios_verdes
1.0,Centro,0.64,0.19,0.68,92.23,160.54,360.07,0.37,0.0,2.52,0.44,5.5,6.9,6.5
2.0,Arganzuela,0.47,0.13,0.42,86.17,159.08,299.3,0.13,5088.99,5.81,0.26,6.6,7.1,7.0
3.0,Retiro,0.53,0.1,0.21,65.04,126.71,355.26,0.17,5225.37,3.09,0.42,7.4,7.6,7.6
4.0,Salamanca,0.45,0.05,0.17,54.25,115.96,400.37,0.14,344.51,2.43,0.27,6.0,6.4,6.4
5.0,Chamartín,0.87,0.13,0.18,48.13,108.79,395.5,0.14,1014.64,3.77,0.14,6.9,7.1,6.7
6.0,Tetuán,0.34,0.14,1.43,116.15,212.76,251.8,0.13,1162.17,4.0,0.25,6.8,7.2,6.8
7.0,Chamberí,0.68,0.12,0.22,57.93,122.75,411.5,0.14,0.0,0.78,0.07,6.9,7.4,6.9
8.0,Fuencarral-El Pardo,0.67,0.2,0.67,92.61,154.56,271.07,0.08,5229.31,14.46,0.33,6.4,6.9,6.4
9.0,Moncloa-Aravaca,1.54,0.18,0.44,75.26,130.97,334.43,0.08,15447.19,16.1,0.42,6.6,7.0,7.2
10.0,Latina,0.44,0.17,1.35,178.29,255.53,128.68,0.13,11180.66,11.58,0.38,6.5,6.6,7.1
11.0,Carabanchel,0.45,0.14,2.25,169.08,273.8,108.23,0.12,1375.51,9.12,0.24,6.8,7.0,7.0
12.0,Usera,0.46,0.22,2.56,202.92,294.85,76.78,0.14,10501.72,11.99,0.5,6.6,6.5,6.7
13.0,Puente de Vallecas,0.45,0.22,2.39,220.44,292.56,75.12,0.17,9901.82,11.95,0.21,6.9,7.0,6.5
14.0,Moratalaz,0.58,0.22,1.61,156.58,220.7,163.53,0.21,29912.59,12.67,0.32,7.5,7.5,7.9
15.0,Ciudad Lineal,0.49,0.13,0.61,127.04,214.8,205.65,0.14,2644.98,6.12,0.37,6.6,6.7,6.9
16.0,Hortaleza,0.6,0.2,0.6,100.08,161.0,245.71,0.16,9677.9,16.73,0.32,6.8,6.9,6.9
17.0,Villaverde,0.4,0.25,2.63,196.12,287.64,71.14,0.13,6591.69,14.48,0.4,6.6,6.8,6.2
18.0,Villa de Vallecas,0.53,0.18,3.96,133.54,239.9,126.96,0.18,6524.14,25.84,0.36,6.2,6.2,6.2
19.0,Vicálvaro,0.4,0.29,1.0,149.96,234.62,117.96,0.28,17940.83,23.15,0.55,7.5,7.5,7.5
20.0,San Blas-Canillejas,0.58,0.23,1.11,146.24,231.74,149.84,0.25,3563.72,10.19,0.38,6.9,6.9,6.9
21.0,Barajas,0.63,0.25,0.76,78.41,155.35,234.01,0.2,4904.64,20.18,0.61,6.4,7.3,7.2
